References:	 ['ElMiron', 'Mota', 'Ust_Ishim', 'Kostenki14', 'GoyetQ116-1', 'Vestonice16', 'MA1', 'Villabruna', 'EHG', 'CHG', 'Natufian', 'Greece_N', 'Levant_N']
target	feasible	Anatolia_N	Armenia_ChL	Steppe_MLBA	Tunisia_N	Megiddo_MLBA_original	prob	nested-p	nested_p_with_Anatolia_N	nested_p_with_Armenia_ChL	nested_p_with_Steppe_MLBA	nested_p_with_Tunisia_N	nested_p_with_Megiddo_MLBA_original	valid
Birgi_176	True	0	1.000	0	0	0	7.54723e-19	0.0	0.0	0	7.09556179367965e-07	0.05816323307241178	7.633893517322576e-13	True
Birgi_176	True	0	0	1.000	0	0	0	0.0	0.0	0.0	0	0.0	0.0	False
Birgi_176	True	0	0	0	1.000	0	0	0.0	0.0	0.0	0.0	0	0.0	False
Birgi_176	True	0	0	0	0	1.000	3.80445e-16	0.0	1.0	8.33548119416605e-10	5.855316231873076e-13	0.0014398847940999548	0	False
Birgi_184_1	False	0.583	0.067	0.275	0.124	-0.049	0.0553047	nan	0	0	0	0	0	False
Birgi_184_1	True	0.548	0.064	0.273	0.114	0	0.0639746	0.3327927217775638	0	0	0	0	0.3327927217775638	False
Birgi_184_1	False	0.347	-0.210	0.401	0	0.463	0.00947923	0.0101293834516466	0	0	0	0.0101293834516466	0	False
Birgi_184_1	False	0.750	0.582	0	0.176	-0.509	0.00565642	0.004557907050936727	0	0	0.004557907050936727	0	0	False
Birgi_184_1	True	0.569	0	0.308	0.115	0.008	0.0789673	0.610808001907045	0	0.610808001907045	0	0	0	False
Birgi_184_1	False	0	-0.398	0.491	-0.019	0.925	0.000123999	2.2312090204867907e-05	2.2312090204867907e-05	0	0	0	0	False
Birgi_184_1	True	0.574	0.201	0.225	0	0	0.00063994	0.00041655168933996123	0	0	0	0.00013088488948409527	0.002767111870749517	False
Birgi_184_1	True	0.425	0.477	0	0.098	0	0.000256333	0.00012634427952329386	0	0	3.708568080973418e-05	0	0.0016474078830883698	False
Birgi_184_1	True	0.428	0.528	0	0	0.044	6.47488e-06	1.2693571077582178e-06	0	0	5.833708420333039e-06	1.2359075775458805e-05	0	False
Birgi_184_1	True	0.577	0	0.308	0.115	0	0.0765952	0.42827061721266013	0	0.3839551431176905	0	0	0.2306254232252819	False
Birgi_184_1	False	0.356	0	0.301	0	0.344	0.0078797	0.012952065571049332	0	0.14914244103005347	0	0.003682693474796883	0	False
Birgi_184_1	True	0.778	0	0	0.123	0.099	1.94214e-15	0.0	0	1.1102230246251565e-16	0.0	0	0	False
Birgi_184_1	False	0	1.133	-0.222	0.089	0	3.16543e-17	0.0	0.0	0	0	0	1.1102230246251565e-16	False
Birgi_184_1	False	0	-0.039	0.326	0	0.711	9.13975e-22	0.0	0.0	0	0	0.0	0	False
Birgi_184_1	True	0	0.548	0	0.033	0.419	4.53013e-09	2.42020181673297e-10	1.7472162605614017e-09	0	2.918350028302541e-07	0	0	False
Birgi_184_1	True	0	0	0.313	0.006	0.681	2.9607e-05	8.235965151870417e-06	1.4945408781663616e-06	0.019759705973245945	0	0	0	False
Birgi_184_1	True	0.476	0.524	0	0	0	1.26094e-05	4.799745728867322e-06	0	0	0.00057475863973111	0.002088593729216104	0.6040033708028419	False
Birgi_184_1	True	0.661	0	0.337	0	0	0.000563549	0.0005287909438981275	0	0.15270698416377682	0	6.621657620409227e-05	0.0028221900012199708	False
Birgi_184_1	True	0.858	0	0	0.142	0	8.03404e-15	2.220446049250313e-16	0	2.0761170560490427e-14	0.0	0	1.0	False
Birgi_184_1	False	-7.242	0	0	0	8.242	0	0.0	0	0.0	0.0	0.0	0	False
Birgi_184_1	False	0	1.215	-0.215	0	0	5.14647e-14	1.3322676295501878e-15	5.007105841059456e-14	0	0	1.0	1.0	False
Birgi_184_1	True	0	0.873	0	0.127	0	1.71166e-12	6.539213615042172e-14	9.11515307677746e-12	0	1.0	0	7.052290697973085e-06	False
Birgi_184_1	True	0	0.566	0	0	0.434	4.2274e-09	4.1701653241688064e-10	1.0197837066350246e-05	0	1.0	0.12576624483872112	0	True
Birgi_184_1	True	0	0	0.663	0.337	0	0	0.0	0.0	0.0	0	0	0.0	False
Birgi_184_1	True	0	0	0.318	0	0.682	7.81281e-05	4.445073647063591e-05	0.00017269989643731165	1.0	0	1.0	0	True
Birgi_184_1	False	0	0	0	-0.022	1.022	1.95834e-20	0.0	1.4802638448330185e-07	7.993605777301127e-15	0.0	0	0	False
Birgi_184_1	True	1.000	0	0	0	0	9.86131e-19	0.0	0	0.0	0.0	2.2899470983883674e-06	1.0	False
Birgi_184_1	True	0	1.000	0	0	0	8.01566e-15	3.3306690738754696e-16	7.37854222165879e-13	0	0.010371195083593965	0.0001477238423600591	1.3653735031482483e-08	False
Birgi_184_1	True	0	0	1.000	0	0	0	0.0	0.0	0.0	0	0.0	0.0	False
Birgi_184_1	True	0	0	0	1.000	0	0	0.0	0.0	0.0	0.0	0	0.0	False
Birgi_184_1	True	0	0	0	0	1.000	1.26717e-19	0.0	1.0	5.3290705182007514e-14	0.0	1.0	0	True
Birgi_9	False	0.276	0.196	0.106	-0.049	0.472	0.599721	nan	0	0	0	0	0	False
Birgi_9	False	0.534	0.450	-0.003	0.019	0	0.240394	0.023692541955689927	0	0	0	0	0.023692541955689927	False
Birgi_9	True	0.389	0.307	0.051	0	0.253	0.514666	0.18338207903801662	0	0	0	0.18338207903801662	0	True
Birgi_9	False	0.357	0.393	0	-0.031	0.281	0.582525	0.29404675082553455	0	0	0.29404675082553455	0	0	False
Birgi_9	False	0.222	0	0.197	-0.072	0.653	0.542248	0.2214422992522339	0	0.2214422992522339	0	0	0	False
Birgi_9	False	0	0.043	0.173	-0.100	0.885	0.255266	0.027138156900660015	0.027138156900660015	0	0	0	0	False
Birgi_9	False	0.524	0.508	-0.032	0	0	0.349605	0.09647223811063643	0	0	0	1.0	0.08819579176299475	False
Birgi_9	True	0.532	0.451	0	0.017	0	0.345685	0.09404329665916	0	0	1.0	0	0.05684920449072517	False
Birgi_9	True	0.374	0.407	0	0	0.219	0.546409	0.2974527173217406	0	0	0.41833070091012514	0.24987543553931246	0	True
Birgi_9	True	0.736	0	0.223	0.041	0	0.00171142	1.9211528815343826e-05	0	4.6078077701849907e-05	0	0	6.884729775391563e-06	False
Birgi_9	True	0.340	0	0.195	0	0.466	0.243452	0.04431198928763447	0	0.03463661557673148	0	0.02950335087299749	0	False
Birgi_9	False	0.185	0	0	-0.092	0.907	1.68166e-05	5.074260212012405e-08	0	1.1968419477703662e-08	1.4658814384560515e-08	0	0	False
Birgi_9	False	0	1.499	-0.491	-0.008	0	2.80338e-14	0.0	0.0	0	0	0	0.0	False
Birgi_9	False	0	1.189	-0.343	0	0.192	2.71382e-17	0.0	0.0	0	0	0.0	0	False
Birgi_9	False	0	0.354	0	-0.086	0.732	0.105442	0.009200476525670465	0.004017253110022878	0	0.03399411367948302	0	0	False
Birgi_9	False	0	0	0.197	-0.101	0.904	0.313545	0.07566042821995889	0.055466704299142244	0.596046529241074	0	0	0	False
Birgi_9	True	0.552	0.448	0	0	0	0.409568	0.1728988188813536	0	0	0.5789100661590744	0.6121887269255735	0.10959858339911566	True
